input shapes: (-1, 20, 10, 1) (1, 46) 
 [height_sum, hole_sum, combo, is_hold, 6 * 7 type] -> length = 43 
outer =   32 | pre-training avg score = 1638.100 | loss =  184.803 | mse =  184.803 | dataset size =   72117 | new dataset size =   12021 | time elapsed:  370.6 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   33 | pre-training avg score = 1218.433 | loss =  208.512 | mse =  208.512 | dataset size =   72101 | new dataset size =   12014 | time elapsed:  305.9 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   34 | pre-training avg score = 1562.100 | loss =  206.587 | mse =  206.587 | dataset size =   72134 | new dataset size =   12025 | time elapsed:  340.9 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   35 | pre-training avg score = 1686.100 | loss =  220.057 | mse =  220.057 | dataset size =   72108 | new dataset size =   12016 | time elapsed:  380.1 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   36 | pre-training avg score = 1736.100 | loss =  225.448 | mse =  225.448 | dataset size =   72094 | new dataset size =   12013 | time elapsed:  424.1 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   37 | pre-training avg score = 2910.100 | loss =  231.816 | mse =  231.816 | dataset size =   72120 | new dataset size =   12022 | time elapsed:  345.1 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   38 | pre-training avg score = 3276.767 | loss =  213.686 | mse =  213.686 | dataset size =   72099 | new dataset size =   12016 | time elapsed:  371.8 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   39 | pre-training avg score = 2086.100 | loss =  208.935 | mse =  208.935 | dataset size =   72102 | new dataset size =   12017 | time elapsed:  306.7 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   40 | pre-training avg score = 1880.100 | loss =  218.121 | mse =  218.121 | dataset size =   72115 | new dataset size =   12020 | time elapsed:  282.2 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   41 | pre-training avg score = 3550.100 | loss =  223.046 | mse =  223.046 | dataset size =   72119 | new dataset size =   12022 | time elapsed:  358.3 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   42 | pre-training avg score = 5405.100 | loss =  212.816 | mse =  212.816 | dataset size =   72125 | new dataset size =   12022 | time elapsed:  393.5 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   43 | pre-training avg score = 3620.100 | loss =  211.211 | mse =  211.211 | dataset size =   72112 | new dataset size =   12016 | time elapsed:  347.7 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   44 | pre-training avg score = 1828.100 | loss =  217.202 | mse =  217.202 | dataset size =   72120 | new dataset size =   12020 | time elapsed:  321.4 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   45 | pre-training avg score = 6015.100 | loss =  202.620 | mse =  202.620 | dataset size =   72121 | new dataset size =   12021 | time elapsed:  353.4 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   46 | pre-training avg score = 3183.433 | loss =  215.514 | mse =  215.514 | dataset size =   72153 | new dataset size =   12032 | time elapsed:  367.6 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   47 | pre-training avg score = 2732.600 | loss =  227.227 | mse =  227.227 | dataset size =   72118 | new dataset size =   12015 | time elapsed:  319.7 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   48 | pre-training avg score = 3453.433 | loss =  235.798 | mse =  235.798 | dataset size =   72128 | new dataset size =   12020 | time elapsed:  350.0 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   49 | pre-training avg score = 2620.100 | loss =  228.825 | mse =  228.825 | dataset size =   72118 | new dataset size =   12017 | time elapsed:  302.5 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   50 | pre-training avg score = 5690.100 | loss =  220.277 | mse =  220.277 | dataset size =   72112 | new dataset size =   12020 | time elapsed:  318.9 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   51 | pre-training avg score = 5150.100 | loss =  218.248 | mse =  218.248 | dataset size =   72117 | new dataset size =   12020 | time elapsed:  429.7 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   52 | pre-training avg score = 5070.100 | loss =  225.506 | mse =  225.506 | dataset size =   72111 | new dataset size =   12018 | time elapsed:  303.0 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   53 | pre-training avg score = 2710.100 | loss =  220.880 | mse =  220.880 | dataset size =   72133 | new dataset size =   12025 | time elapsed:  339.8 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
